accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
ROOFTOP,"167 Detroit Ave, Staten Island, NY 10312, USA",ChIJJ8mjm_1KwokRkfZaLx6cp-c,"SS SD 167 Detroit Avenue and Edgegrove Avenue, Staten Island, NY, US",40.5443544,-74.179295,2,10312,OK,premise
ROOFTOP,"42 Bamberger Ln, Staten Island, NY 10312, USA",ChIJq7z261RKwokROnSCytTIs2s,"SS 42 Bamberger Lane, Staten Island, NY, US",40.54187750000001,-74.166865,1,10312,OK,premise
GEOMETRIC_CENTER,"Riegelmann Boardwalk, Brooklyn, NY, USA",ChIJKfufpEBEwokRzBrF-F05LkY,"Coney Island (Riegelmann) Boardwalk, Brooklyn, NY, US",40.5733576,-73.9782364,1,,OK,route
ROOFTOP,"281 Broadway, Brooklyn, NY 11211, USA",ChIJwUt_9OBbwokRt6PoDt9EERk,"The Dime Savings Bank of Williamsburgh, Brooklyn, NY, US",40.7088696,-73.9584378,1,11211,OK,"atm,bank,establishment,finance,point_of_interest"
APPROXIMATE,"Brooklyn, NY, USA",ChIJCSF8lBZEwokRhngABHRcdoI,"Dr. Maurice T. Lewis House, Brooklyn, NY, US",40.6781784,-73.94415790000002,1,,OK,"political,sublocality,sublocality_level_1"
ROOFTOP,"22 E 29th St, New York, NY 10016, USA",ChIJFUaOyqdZwokRlFzEZ5UygAY,"Hotel Seville, Manhattan, NY, US",40.7446423,-73.9855077,1,10016,OK,"establishment,lodging,point_of_interest"
ROOFTOP,"1564 Broadway, New York, NY 10036, USA",ChIJ-2tIv1VYwokRO4ySA2GC9is,"1568 Broadway (Palace Theater) - Text Amendment, Manhattan, NY, US",40.7589108,-73.98460970000002,1,10036,OK,"establishment,point_of_interest"
ROOFTOP,"230 Yetman Ave, Staten Island, NY 10307, USA",ChIJT--F3p7Kw4kRW33ratDqc5w,"SS 230 Yetman Avenue, Staten Island, NY, US",40.51067099999999,-74.244676,1,10307,OK,premise
ROOFTOP,"123 Finlay Ave, Staten Island, NY 10309, USA",ChIJHYV1JLBKwokR7puE839G62M,"SS 123 Finlay Avenue, Staten Island, NY, US",40.519804,-74.20805039999998,1,10309,OK,premise
ROOFTOP,"217 Vineland Ave, Staten Island, NY 10312, USA",ChIJA4YpyB1LwokRT2y4PlZLbic,"SS 217 Vineland Avenue, Staten Island, NY, US",40.5482423,-74.1871378,1,10312,OK,premise
ROOFTOP,"21 Finlay Ave, Staten Island, NY 10309, USA",ChIJs7cmmLpKwokRWQpfUAwhGVY,"SS 21 Finlay Avenue, Staten Island, NY, US",40.520377,-74.205477,1,10309,OK,street_address
GEOMETRIC_CENTER,"Jerome Ave, The Bronx, NY, USA",ChIJ9crN2YnzwokRO-cdH0cUXzY,"Jerome Avenue Rezoning, Bronx, NY, US",40.865589,-73.8988719,1,,OK,route
RANGE_INTERPOLATED,"46 E Loop Rd, Staten Island, NY 10304, USA",Eio0NiBFIExvb3AgUmQsIFN0YXRlbiBJc2xhbmQsIE5ZIDEwMzA0LCBVU0EiGhIYChQKEglpGcfYvk7CiRGH8InftglKBRAu,"46 East Loop Road (2017), Staten Island, NY, US",40.5902746,-74.10270290000003,1,10304,OK,street_address
,,,"R6-1 text amendment, Queens, NY, US",,,0,,ZERO_RESULTS,
APPROXIMATE,"New York, NY, USA",ChIJOwg_06VPwokRYv534QaPC8g,"Self-storage Restriction in Designated M, Citywide, NY, US",40.7127753,-74.0059728,1,,OK,"locality,political"
ROOFTOP,"Hospital for Special Surgery, 535 E 70th St, New York, NY 10021, USA",ChIJ9z3A-cNYwokRlZ6EH23xq1c,"Hospital for Special Surgery River Bldg renewal, Manhattan, NY, US",40.7649401,-73.9529503,1,10021,OK,"establishment,hospital,point_of_interest"
RANGE_INTERPOLATED,"136 Mayberry Promenade, Staten Island, NY 10312, USA",EjQxMzYgTWF5YmVycnkgUHJvbWVuYWRlLCBTdGF0ZW4gSXNsYW5kLCBOWSAxMDMxMiwgVVNBIhsSGQoUChIJYxWH3URKwokRKZrT6j4Qp9sQiAE,"SS 136 Mayberry Promenade - renewal, Staten Island, NY, US",40.5294089,-74.15756850000002,1,10312,OK,street_address
APPROXIMATE,"Staten Island, NY, USA",ChIJ59T0ee9FwokReLy6NIUfJ1A,"East Shore Phase I Buyout Areas, Staten Island, NY, US",40.5795317,-74.1502007,1,,OK,"political,sublocality,sublocality_level_1"
ROOFTOP,"1452 Drumgoole Rd W, Staten Island, NY 10312, USA",ChIJs45xbuhKwokRdtwbuCH4hKM,"SS 1452 Drumgoole Road West, Staten Island, NY, US",40.5363701,-74.1925955,1,10312,OK,premise
APPROXIMATE,"Manhattan, New York, NY, USA",ChIJYeZuBI9YwokRjMDs_IEyCwo,"50 Hudson Yards DIB, ERY, and Office Cert, Manhattan, NY, US",40.7830603,-73.9712488,1,,OK,"political,sublocality,sublocality_level_1"
APPROXIMATE,"Broad Channel, Queens, NY, USA",ChIJoxE3NnZowokRTjwCLBKVVMI,"Broad Channel Resiliency Rezoning, Queens, NY, US",40.6158335,-73.8213213,1,,OK,"neighborhood,political"
ROOFTOP,"471 Rensselaer Ave, Staten Island, NY 10312, USA",ChIJ1VcUOOFKwokR8dIHK22klXY,"SS 471 Rensselaer Avenue, Staten Island, NY, US",40.5423916,-74.1901282,1,10312,OK,street_address
ROOFTOP,"One United Nations Plaza, New York, NY 10017, USA",ChIJEU2H4BxZwokRNsE531E6mZM,"United Nations Hotel, First Floor Interiors, Manhattan, NY, US",40.7504263,-73.96913669999998,1,10017,OK,"establishment,lodging,point_of_interest"
ROOFTOP,"5 Pennsylvania Plaza, New York, NY 10001, USA",ChIJHcpyeq5ZwokRkPYWnEFiZUY,"LE GANS RESTAURANT, Manhattan, NY, US",40.7520075,-73.9941168,2,10001,OK,"establishment,point_of_interest"
ROOFTOP,"1267 Coney Island Ave, Brooklyn, NY 11230, USA",ChIJhzeObMZEwokR2aTnYPNEzXE,"CAFE K, Brooklyn, NY, US",40.6266683,-73.96521129999998,1,11230,OK,"establishment,food,point_of_interest,restaurant"
ROOFTOP,"8119 5th Ave, Brooklyn, NY 11209, USA",ChIJw4FHL2dFwokRXRwsAcJUh3Y,"CB 10 Text Amendment, BSA Special Permit 73-622, Brooklyn, NY, US",40.6245076,-74.02444190000001,2,11209,OK,"establishment,local_government_office,point_of_interest"
APPROXIMATE,"Manhattan, New York, NY, USA",ChIJYeZuBI9YwokRjMDs_IEyCwo,"Theater Subdistrict Fund text amendment, Manhattan, NY, US",40.7830603,-73.9712488,1,,OK,"political,sublocality,sublocality_level_1"
ROOFTOP,"27-01 Queens Plaza N, Long Island City, NY 11101, USA",ChIJWX_WCdVYwokRPEnMsB-Z0bA,"Amended District Plan for the LIC BID, Queens, NY, US",40.7505811,-73.9388852,1,11101,OK,"establishment,finance,point_of_interest"
ROOFTOP,"353 West St, New York, NY 10011, USA",ChIJ5aLwb5dZwokR4EzyKJoh3mQ,"HUDSON RIVER PARK,, Manhattan, NY, US",40.7331168,-74.0108977,1,10011,OK,"establishment,point_of_interest"
GEOMETRIC_CENTER,"Brooklyn, NY 11215, USA",ChIJmbpVC_1awokRbXbJdTDpPJM,"Park Slope Historic District Extension II, Brooklyn, NY, US",40.673354,-73.9759098,1,11215,OK,"establishment,point_of_interest"
ROOFTOP,"55 Queens Blvd # 89, Queens, NY 11373, USA",ChIJG3l5HkxewokRwVJPyM2oQKU,"89-55 Queens Blvd RD Mod, Queens, NY, US",40.73341569999999,-73.8694313,1,11373,OK,"establishment,point_of_interest,store"
GEOMETRIC_CENTER,"Queens Blvd & 57th Ave, Queens, NY 11373, USA",Ei1RdWVlbnMgQmx2ZCAmIDU3dGggQXZlLCBRdWVlbnMsIE5ZIDExMzczLCBVU0EiZiJkChQKEgm_m9SGTl7CiRHg5jUFKeFiRBIUChIJv5vUhk5ewokR4OY1BSnhYkQaFAoSCZ84lsxaXsKJEY0J6xe-abIrGhQKEgmTOEG7Tl7CiRHCShXR_1bINiIKDYGORxgVgb_30w,"QUEENS BLVD_57TH AVE_&_90TH ST, Queens, NY, US",40.73427210000001,-73.8738303,1,11373,OK,intersection
,,,"SS 72 & 76 Tenafly Place, Staten Island, NY, US",,,0,,ZERO_RESULTS,
ROOFTOP,"215 Mcbaine Ave, Staten Island, NY 10309, USA",ChIJWaLKudNKwokRMtSufShNy-E,"SS 215 McBaine Avenue, Staten Island, NY, US",40.5432159,-74.213719,1,10309,OK,street_address
APPROXIMATE,"New York, NY, USA",ChIJOwg_06VPwokRYv534QaPC8g,"Affordable Housing - Citywide Text Amendment, Citywide, NY, US",40.7127753,-74.0059728,1,,OK,"locality,political"
APPROXIMATE,"New York, NY, USA",ChIJOwg_06VPwokRYv534QaPC8g,"Mandatory Inclusionary Housing, Citywide, NY, US",40.7127753,-74.0059728,1,,OK,"locality,political"
ROOFTOP,"247 Hancock St, Brooklyn, NY 11216, USA",ChIJgYfeSo5bwokRNrp9pqr39ME,"Bedford Historic District, Brooklyn, NY, US",40.6831717,-73.94613269999998,2,11216,OK,"establishment,point_of_interest"
RANGE_INTERPOLATED,"69 Whitlock Ave, Staten Island, NY 10304, USA",Ei02OSBXaGl0bG9jayBBdmUsIFN0YXRlbiBJc2xhbmQsIE5ZIDEwMzA0LCBVU0EiGhIYChQKEgk7sqkPmE7CiRHYBS1XCFFe9hBF,"Shah's Residence - 69 Whitlock Avenue, Staten Island, NY, US",40.59558699999999,-74.11307,1,10304,OK,street_address
ROOFTOP,"North suite 1003, 1, MetroTech Center, Brooklyn, NY 11201, United States",ChIJm-dJJUtawokRpVgXIwTxW1E,"MetroTech BID, Brooklyn, NY, US",40.693275,-73.98669,1,11201,OK,"establishment,point_of_interest"
GEOMETRIC_CENTER,"Marcus Garvey Park, 6316, Mt Morris Park W, New York, NY 10027, United States",ChIJHa6lPAz2wokRlRyxNExaJbQ,"Mount Morris Park Historic District Extension, Manhattan, NY, US",40.8044257,-73.94376290000002,1,10027,OK,"establishment,park,point_of_interest"
